time,mean,max,,hor,ver,hormax,vermax
20220423_100556,0.022346222,0.069689848,5.83E-05,-0.001842311,-0.00096991,0.068199247,0.063406669
20220423_100556,0.022924703,0.07126575,0.000182878,-0.003609865,0.000672416,0.047835767,0.07119412
20220423_100557,0.022924703,0.07126575,0.000182878,-0.003609865,0.000672416,0.047835767,0.07119412
20220423_100557,0.023157697,0.075089537,0.000137576,-0.000310402,0.000562401,0.073829845,0.050038036
20220423_100557,0.023157697,0.075089537,0.000137576,-0.000310402,0.000562401,0.073829845,0.050038036
20220423_100557,0.021171379,0.064836219,7.76E-05,-0.000958672,0.000717753,0.062383626,0.058258817
20220423_100557,0.021171379,0.064836219,7.76E-05,-0.000958672,0.000717753,0.062383626,0.058258817
20220423_100557,0.020742603,0.072359651,5.68E-05,-0.002181537,0.001331209,0.068756841,0.061704397
20220423_100557,0.020742603,0.072359651,5.68E-05,-0.002181537,0.001331209,0.068756841,0.061704397
20220423_100557,0.021984634,0.077386126,3.90E-05,-0.000651238,0.001309366,0.063060753,0.05602552
20220423_100557,0.021984634,0.077386126,3.90E-05,-0.000651238,0.001309366,0.063060753,0.05602552
20220423_100557,0.021984634,0.077386126,3.90E-05,-0.000651238,0.001309366,0.063060753,0.05602552
20220423_100557,0.023172123,0.068417825,6.77E-05,-0.001922751,-0.00108651,0.056019526,0.068063878
20220423_100557,0.023841046,0.073876902,7.43E-05,0.000777262,-0.002732373,0.055621833,0.067048877
20220423_100557,0.023841046,0.073876902,7.43E-05,0.000777262,-0.002732373,0.055621833,0.067048877
20220423_100557,0.023841046,0.073876902,7.43E-05,0.000777262,-0.002732373,0.055621833,0.067048877
20220423_100557,0.021640424,0.061402012,0.000131413,0.002407999,-0.001453754,0.061389521,0.051265936
20220423_100558,0.022439564,0.076660447,5.73E-06,0.003778362,-0.00383981,0.060039423,0.055204518
20220423_100558,0.022439564,0.076660447,5.73E-06,0.003778362,-0.00383981,0.060039423,0.055204518
20220423_100558,0.022439564,0.076660447,5.73E-06,0.003778362,-0.00383981,0.060039423,0.055204518
20220423_100558,0.024829247,0.069742821,4.82E-05,0.008940515,-0.005536932,0.066392817,0.052292004
20220423_100558,0.024829247,0.069742821,4.82E-05,0.008940515,-0.005536932,0.066392817,0.052292004
20220423_100558,0.023049776,0.070886329,0.000100054,0.005911893,-0.0067699,0.060035955,0.040990941
20220423_100558,0.023049776,0.070886329,0.000100054,0.005911893,-0.0067699,0.060035955,0.040990941
20220423_100558,0.02365126,0.078573063,2.42E-05,0.006518701,-0.005181971,0.078572072,0.048731472
20220423_100558,0.02365126,0.078573063,2.42E-05,0.006518701,-0.005181971,0.078572072,0.048731472
20220423_100558,0.022571603,0.065470219,0.000138606,0.005456057,-0.00037913,0.060446125,0.050093785
20220423_100558,0.022571603,0.065470219,0.000138606,0.005456057,-0.00037913,0.060446125,0.050093785
20220423_100558,0.021880731,0.069475859,7.57E-05,0.00551769,-0.00194679,0.066465475,0.055562712
20220423_100558,0.021880731,0.069475859,7.57E-05,0.00551769,-0.00194679,0.066465475,0.055562712
20220423_100558,0.020178691,0.063795172,2.38E-05,0.005821015,-0.003035164,0.05131831,0.05978106
20220423_100558,0.020178691,0.063795172,2.38E-05,0.005821015,-0.003035164,0.05131831,0.05978106
20220423_100558,0.021890784,0.076718867,5.58E-05,0.002175078,-7.26E-05,0.067681938,0.071727201
20220423_100559,0.021890784,0.076718867,5.58E-05,0.002175078,-7.26E-05,0.067681938,0.071727201
20220423_100559,0.02166746,0.070503168,7.17E-05,0.002570361,-0.005842336,0.057017837,0.052626308
20220423_100559,0.02166746,0.070503168,7.17E-05,0.002570361,-0.005842336,0.057017837,0.052626308
20220423_100559,0.02166746,0.070503168,7.17E-05,0.002570361,-0.005842336,0.057017837,0.052626308
20220423_100559,0.022974882,0.077711724,0.000128089,0.005477724,-0.003156781,0.057889935,0.046177633
20220423_100559,0.022974882,0.077711724,0.000128089,0.005477724,-0.003156781,0.057889935,0.046177633
20220423_100559,0.02147762,0.086184606,0.000107031,0.005451644,-0.004796024,0.07163918,0.042874433
20220423_100559,0.02147762,0.086184606,0.000107031,0.005451644,-0.004796024,0.07163918,0.042874433
20220423_100559,0.021906177,0.074799143,0.000117351,0.005328141,-0.000904132,0.06252718,0.06626568
20220423_100559,0.021906177,0.074799143,0.000117351,0.005328141,-0.000904132,0.06252718,0.06626568
20220423_100559,0.022506201,0.090658925,8.23E-05,0.005314722,-0.001424275,0.06903287,0.051705565
20220423_100559,0.022506201,0.090658925,8.23E-05,0.005314722,-0.001424275,0.06903287,0.051705565
20220423_100559,0.022889027,0.069000326,0.000115377,0.004880731,-0.003207965,0.065503038,0.052237362
20220423_100559,0.022889027,0.069000326,0.000115377,0.004880731,-0.003207965,0.065503038,0.052237362
20220423_100559,0.022527559,0.06732481,4.68E-05,0.005859326,-0.003412441,0.062732033,0.058565613
20220423_100559,0.022527559,0.06732481,4.68E-05,0.005859326,-0.003412441,0.062732033,0.058565613
20220423_100600,0.022527559,0.06732481,4.68E-05,0.005859326,-0.003412441,0.062732033,0.058565613
20220423_100600,0.022331302,0.075515792,0.000181902,0.002388721,-0.003780078,0.057934482,0.039973129
20220423_100600,0.02234197,0.074592717,1.59E-05,0.008964233,-0.004654642,0.063023217,0.048809234
20220423_100600,0.02234197,0.074592717,1.59E-05,0.008964233,-0.004654642,0.063023217,0.048809234
20220423_100600,0.022583035,0.07406269,0.000104155,0.006699561,-0.00274081,0.066774212,0.064009093
20220423_100600,0.022583035,0.07406269,0.000104155,0.006699561,-0.00274081,0.066774212,0.064009093
20220423_100600,0.02349321,0.089824893,7.82E-05,0.007368673,-0.006055466,0.079614811,0.041298468
20220423_100600,0.02349321,0.089824893,7.82E-05,0.007368673,-0.006055466,0.079614811,0.041298468
20220423_100600,0.022308855,0.071143679,6.07E-05,0.004077949,0.002269327,0.061301723,0.060091265
20220423_100600,0.022308855,0.071143679,6.07E-05,0.004077949,0.002269327,0.061301723,0.060091265
20220423_100600,0.021632533,0.080858037,3.29E-05,0.00124136,-0.001908995,0.074308746,0.059050899
20220423_100600,0.021632533,0.080858037,3.29E-05,0.00124136,-0.001908995,0.074308746,0.059050899
20220423_100600,0.022520462,0.086440556,1.91E-05,-0.000760879,-0.002150007,0.072268374,0.053523615
20220423_100600,0.022520462,0.086440556,1.91E-05,-0.000760879,-0.002150007,0.072268374,0.053523615
20220423_100601,0.020288308,0.059862107,0.000104452,0.001974515,-0.000306979,0.054024335,0.04896009
20220423_100601,0.020288308,0.059862107,0.000104452,0.001974515,-0.000306979,0.054024335,0.04896009
20220423_100601,0.021659059,0.066470228,6.14E-05,0.000408169,-0.001576495,0.051267724,0.054042224
20220423_100601,0.021659059,0.066470228,6.14E-05,0.000408169,-0.001576495,0.051267724,0.054042224
20220423_100601,0.021494903,0.070137158,4.85E-05,0.006985142,-0.001326321,0.069568202,0.062007297
20220423_100601,0.021494903,0.070137158,4.85E-05,0.006985142,-0.001326321,0.069568202,0.062007297
20220423_100601,0.022354394,0.064141378,7.91E-06,0.00487428,-0.001405884,0.057616886,0.053674545
20220423_100601,0.022354394,0.064141378,7.91E-06,0.00487428,-0.001405884,0.057616886,0.053674545
20220423_100601,0.021996099,0.074937664,5.99E-05,0.003085558,-0.004431374,0.06881211,0.041813511
20220423_100601,0.021996099,0.074937664,5.99E-05,0.003085558,-0.004431374,0.06881211,0.041813511
20220423_100601,0.021996099,0.074937664,5.99E-05,0.003085558,-0.004431374,0.06881211,0.041813511
20220423_100601,0.021186353,0.062306765,0.000106743,0.001083782,-0.001386979,0.062291298,0.04874564
20220423_100601,0.021186353,0.062306765,0.000106743,0.001083782,-0.001386979,0.062291298,0.04874564
20220423_100601,0.020320505,0.074381374,6.00E-05,0.003703642,-0.002778668,0.063963279,0.059320249
20220423_100601,0.020320505,0.074381374,6.00E-05,0.003703642,-0.002778668,0.063963279,0.059320249
20220423_100601,0.02322709,0.067276441,5.88E-05,0.004851867,0.000544039,0.065821037,0.055559032
20220423_100601,0.02322709,0.067276441,5.88E-05,0.004851867,0.000544039,0.065821037,0.055559032
20220423_100602,0.021490217,0.066996165,9.57E-05,0.007266501,-0.000476808,0.066746823,0.04366402
20220423_100602,0.021490217,0.066996165,9.57E-05,0.007266501,-0.000476808,0.066746823,0.04366402
20220423_100602,0.022469149,0.081052281,9.25E-05,0.004397687,-0.002603123,0.054256596,0.063675843
20220423_100602,0.022469149,0.081052281,9.25E-05,0.004397687,-0.002603123,0.054256596,0.063675843
20220423_100602,0.022810402,0.072289512,4.70E-05,0.004537157,-0.001773647,0.068745047,0.061272103
20220423_100602,0.022810402,0.072289512,4.70E-05,0.004537157,-0.001773647,0.068745047,0.061272103
20220423_100602,0.022810402,0.072289512,4.70E-05,0.004537157,-0.001773647,0.068745047,0.061272103
20220423_100602,0.022763116,0.065434963,5.38E-05,0.003996788,-0.000948147,0.062283792,0.065391794
20220423_100602,0.021361858,0.070895649,0.000107317,0.006924848,-0.002147482,0.056851,0.04726626
20220423_100602,0.021361858,0.070895649,0.000107317,0.006924848,-0.002147482,0.056851,0.04726626
20220423_100602,0.022397009,0.073370233,6.32E-05,0.006390506,-0.003314199,0.06697654,0.061045811
20220423_100602,0.022397009,0.073370233,6.32E-05,0.006390506,-0.003314199,0.06697654,0.061045811
20220423_100602,0.022397009,0.073370233,6.32E-05,0.006390506,-0.003314199,0.06697654,0.061045811
20220423_100602,0.022546454,0.075886108,8.36E-05,0.003138892,0.000564195,0.075424194,0.057475924
20220423_100602,0.022546454,0.075886108,8.36E-05,0.003138892,0.000564195,0.075424194,0.057475924
20220423_100602,0.022068512,0.072808653,0.000125095,0.002399201,-0.002479229,0.058412746,0.058810472
20220423_100603,0.022068512,0.072808653,0.000125095,0.002399201,-0.002479229,0.058412746,0.058810472
20220423_100603,0.020876036,0.067162067,8.85E-05,0.003053635,-0.003598053,0.066712059,0.051816877
20220423_100603,0.020876036,0.067162067,8.85E-05,0.003053635,-0.003598053,0.066712059,0.051816877
20220423_100603,0.02324207,0.080932274,0.000170259,0.00768173,-0.002598107,0.076840796,0.0754629
20220423_100603,0.02324207,0.080932274,0.000170259,0.00768173,-0.002598107,0.076840796,0.0754629
20220423_100603,0.022348766,0.079784803,2.93E-05,0.006202966,-0.001700452,0.072891831,0.049422096
20220423_100603,0.022348766,0.079784803,2.93E-05,0.006202966,-0.001700452,0.072891831,0.049422096
20220423_100603,0.023241981,0.075132467,0.000133438,0.004902575,-0.003774637,0.057131514,0.054021314
20220423_100603,0.023241981,0.075132467,0.000133438,0.004902575,-0.003774637,0.057131514,0.054021314
20220423_100603,0.023241981,0.075132467,0.000133438,0.004902575,-0.003774637,0.057131514,0.054021314
20220423_100603,0.022416938,0.077428699,7.30E-05,0.004948389,-0.001831924,0.067294568,0.051930819
20220423_100603,0.022416938,0.077428699,7.30E-05,0.004948389,-0.001831924,0.067294568,0.051930819
20220423_100603,0.022819833,0.068879031,0.00016073,0.003727091,-0.001115342,0.068441264,0.068630502
20220423_100603,0.022819833,0.068879031,0.00016073,0.003727091,-0.001115342,0.068441264,0.068630502
20220423_100603,0.022819833,0.068879031,0.00016073,0.003727091,-0.001115342,0.068441264,0.068630502
20220423_100603,0.020082952,0.064148508,4.42E-05,0.003749346,-0.000400877,0.060819652,0.044899777
20220423_100604,0.020082952,0.064148508,4.42E-05,0.003749346,-0.000400877,0.060819652,0.044899777
20220423_100604,0.022734056,0.066382475,9.12E-05,0.005129511,-0.000282516,0.059758682,0.057678398
20220423_100604,0.022734056,0.066382475,9.12E-05,0.005129511,-0.000282516,0.059758682,0.057678398
20220423_100604,0.023414921,0.065976962,5.96E-05,0.006757042,-0.005350372,0.06280376,0.045060195
20220423_100604,0.022076922,0.072737195,2.03E-05,0.006016825,-0.004235237,0.063402019,0.053868696
20220423_100604,0.022076922,0.072737195,2.03E-05,0.006016825,-0.004235237,0.063402019,0.053868696
20220423_100604,0.022076922,0.072737195,2.03E-05,0.006016825,-0.004235237,0.063402019,0.053868696
