time,mean,max,min,hor,ver,horabs,verabs
20220406_153348,0.119858143,0.316711873,0.000547301,-0.026958078,0.10787747,0.03915713,0.108876236
20220406_153349,0.102517199,0.309195638,0.000237154,-0.023361256,0.09024961,0.037637834,0.09074936
20220406_153349,0.119290526,0.351683885,0.001687868,-0.02609577,0.10667599,0.03915227,0.10807183
20220406_153349,0.111080594,0.300672919,0.000623433,-0.009941959,0.10027874,0.034190234,0.10196482
20220406_153350,0.111747712,0.368680745,0.00100025,-0.023902344,0.098554924,0.04036454,0.099563755
20220406_153350,0.140138944,0.350634575,0.001035028,0.004224763,0.13277897,0.03357609,0.13300112
20220406_153350,0.116747741,0.315666139,0.000630838,-0.023131955,0.10490833,0.03895739,0.10563137
20220406_153351,0.1144975,0.393094301,0.000681743,-0.055850558,0.09008864,0.05976712,0.09074896
20220406_153351,0.114939566,0.463239729,0.001372063,-0.025940336,0.102385774,0.038846176,0.10338258
20220406_153351,0.117385976,0.544446111,0.000542072,-0.015398504,0.10625647,0.035216156,0.10774322
20220406_153352,0.126181161,0.429687798,0.000505099,-0.018206555,0.11628165,0.036906283,0.11685552
20220406_153352,0.104470401,0.316484749,0.001090215,-0.03683537,0.0864101,0.046129227,0.08706856
20220406_153352,0.105698278,0.467679381,0.000131293,-0.048925065,0.08137403,0.055582304,0.082526535
20220406_153353,0.125632136,0.339807063,0.000944234,-0.014471609,0.115436174,0.036076237,0.11638804
20220406_153353,0.097366121,0.349893838,6.59E-05,-0.03310362,0.08051275,0.043249074,0.08172285
20220406_153353,0.116394208,0.350912988,0.000358183,-0.042499054,0.09961366,0.048885964,0.10033009
20220406_153354,0.107199245,0.333661109,9.93E-05,-0.052410685,0.08304043,0.05635693,0.084262304
20220406_153354,0.119767541,0.331889987,0.000802392,-0.022598384,0.10768289,0.039697554,0.10859924
20220406_153354,0.121813054,0.372652084,0.000708339,-0.04710571,0.10151907,0.054381892,0.10291358
20220406_153355,0.108360933,0.406686366,0.000553221,-0.024668375,0.09517283,0.038830515,0.09616577
