time,magmean,magmax,magmin,hor,ver,hor1,ver1
20220215_154850,0.178319513,0.62434423,0.000439787,-0.08981739,0.062436495,0.11606302,0.112242416
20220215_154851,0.171695434,0.624367237,0.000243875,-0.089836046,0.039574523,0.116082646,0.10352289
20220215_154851,0.193576991,0.622714579,0.000373835,-0.13041618,0.032068066,0.14448503,0.10241316
20220215_154851,0.197615425,0.66520685,0.000318772,-0.13745546,0.01557573,0.15047565,0.101236686
20220215_154852,0.201334355,0.832747638,0.00016626,-0.14222334,-0.017403292,0.1532255,0.102506906
20220215_154852,0.196051598,0.695264697,0.000230562,-0.13626152,-0.005538964,0.14995214,0.09916861
20220215_154853,0.203378889,0.815557539,0.000518833,-0.14696936,0.026696946,0.15988357,0.09516907
20220215_154853,0.215706876,0.696065426,0.000215543,-0.16323735,-0.04049469,0.17302603,0.09786678
20220215_154853,0.220777655,0.747225285,0.001043427,-0.1689668,-0.043920558,0.17836557,0.10207191
20220215_154854,0.226369374,0.632320166,0.000179219,-0.17475304,-0.04567394,0.18344009,0.102932066
20220215_154854,0.237534732,0.673887253,0.000840341,-0.18260266,-0.06464127,0.19009224,0.112793475
20220215_154855,0.237534732,0.673887253,0.000840341,-0.18260266,-0.06464127,0.19009224,0.112793475
20220215_154855,0.227191592,0.648619711,0.00056251,-0.18170212,-0.023310322,0.18720816,0.09861402
20220215_154855,0.202138194,0.673249304,0.000438593,-0.15011977,-0.009137229,0.15956615,0.09417814
20220215_154856,0.212554462,0.779541671,0.000513882,-0.15960604,-0.007778015,0.1679621,0.101793714
20220215_154856,0.218711849,0.934676468,0.000562859,-0.16224353,-0.007619047,0.17444412,0.09936675
20220215_154857,0.196962624,0.904568672,0.000557912,-0.13327831,0.02206762,0.15079215,0.09796375
20220215_154857,0.20610162,1.167874813,0.000354991,-0.1445574,0.026946757,0.15533511,0.10526453
20220215_154857,0.202195122,0.810459316,0.000679795,-0.14298779,-0.011738649,0.15694901,0.099810034
20220215_154858,0.195655477,0.736057758,0.000867017,-0.13114971,0.004669523,0.1462279,0.10185927
20220215_154858,0.196916011,0.675457597,0.000292815,-0.13868605,0.026842374,0.15436496,0.09416529
20220215_154859,0.180459472,0.559376836,0.000460479,-0.10793924,0.05150137,0.12828337,0.10307706
20220215_154859,0.205563179,0.640149057,0.000403352,-0.14873189,0.017275712,0.16225508,0.09911495
20220215_154859,0.202073907,0.612510026,0.000328411,-0.13387737,0.04104584,0.1511068,0.105343185
20220215_154900,0.192493044,0.642830133,0.000461646,-0.13927117,0.025615301,0.15173437,0.09097944
20220215_154900,0.224380893,1.011889338,0.000489829,-0.16985656,-0.000154784,0.17928839,0.10515369
20220215_154901,0.220027302,0.641235948,0.000506654,-0.16935766,0.027097823,0.17825334,0.09943702
20220215_154901,0.217122818,0.696603417,0.000274154,-0.16869828,0.026156887,0.17769843,0.09497095
20220215_154901,0.247902921,0.695403099,0.000636904,-0.1983328,0.022835579,0.20339268,0.10953881
20220215_154902,0.224388204,0.938881695,0.00049765,-0.18045802,0.012449663,0.18492427,0.09603626
20220215_154902,0.23312692,0.684154212,0.000276964,-0.18590584,0.036238562,0.1915589,0.10182553
20220215_154903,0.237079179,0.834527135,0.000171233,-0.19036056,0.03116062,0.19639623,0.10081284
20220215_154903,0.242086948,0.683363199,0.000247403,-0.19748317,0.030092385,0.2036708,0.09917726
20220215_154903,0.238938116,0.735433459,0.000575871,-0.19628067,0.019218078,0.20055856,0.09870581
20220215_154904,0.236507642,0.633335829,0.000670834,-0.18912941,0.007130717,0.19658737,0.09891156
20220215_154904,0.230125879,0.829976857,0.000358673,-0.1843217,0.01647145,0.18985885,0.099309474
20220215_154905,0.267961527,0.746025503,0.000583649,-0.23320143,0.005236412,0.23577233,0.09779403
20220215_154905,0.249727193,0.814602435,0.000464415,-0.21248274,0.005226622,0.21526185,0.09672541
20220215_154905,0.260695927,0.773934066,0.000882503,-0.23002154,-0.001317434,0.2316161,0.0922498
20220215_154906,0.252122795,0.867486954,0.000653808,-0.21280074,0.00703893,0.2170326,0.09650962
20220215_154906,0.279424089,0.768181205,0.000898839,-0.24276023,-0.007431852,0.24625665,0.10030597
20220215_154907,0.257957227,0.732298255,0.001321254,-0.22077644,0.002082644,0.22493638,0.09655245
20220215_154907,0.145736428,0.602124691,0.00024451,-0.028929982,0.008469988,0.09075714,0.09513987
20220215_154908,0.147777378,0.592004001,0.000268967,-0.001051748,0.01705217,0.09210775,0.096313775
20220215_154908,0.144857881,0.576427162,0.000432193,0.010653651,0.014559516,0.0896529,0.093884505
20220215_154909,0.146479049,0.529352605,0.000342416,0.001471037,0.025852943,0.09343917,0.09304779
20220215_154909,0.153905548,1.090645313,6.72E-05,0.006755764,0.010159516,0.094278485,0.10103122
20220215_154909,0.154613631,0.594789982,0.000142518,-0.028418755,-0.011269691,0.09875678,0.09850164
20220215_154910,0.150785052,0.617825568,0.000252612,-0.025384512,-0.04118729,0.094372995,0.09854421
20220215_154910,0.146825974,0.728088796,0.000188685,-0.003569846,0.003552567,0.093937896,0.09310108
20220215_154911,0.146661617,0.664081395,5.43E-05,-0.024256865,-0.018508866,0.09078016,0.09444141
20220215_154911,0.150307504,0.570675373,0.000354204,0.006505843,-0.013102118,0.09681436,0.09476137
20220215_154912,0.141215229,0.606633604,0.000570255,0.015106066,0.014923926,0.08892648,0.09118048
20220215_154912,0.145811993,0.667766869,0.00062792,0.006882722,0.009445306,0.092995,0.0940873
20220215_154912,0.148276574,0.566805601,0.000434414,-0.000191162,0.036064267,0.09119653,0.09713421
20220215_154913,0.149109982,0.59491837,0.000200053,-0.037119962,0.018195886,0.0958566,0.09416437
20220215_154913,0.152994358,0.668664157,0.000487934,-0.014329961,0.020529408,0.098449185,0.096345074
20220215_154914,0.159900774,0.775625587,0.000424501,-0.058090918,-0.019549757,0.10694814,0.09539134
20220215_154914,0.153923118,0.60513252,0.000485359,-0.04804229,-0.022348164,0.10117494,0.09578439
20220215_154914,0.155849453,0.568212569,0.000231185,-0.06461913,0.02535164,0.100473754,0.09861459
20220215_154915,0.152377726,0.558410227,0.000171027,-0.022933342,0.005410126,0.09624269,0.096588746
20220215_154915,0.160463986,0.559109986,0.000444357,-0.07599595,-0.016663034,0.1104759,0.09280432
20220215_154916,0.156555129,0.635946155,0.00032253,-0.06659086,0.004964594,0.107232146,0.091649875
20220215_154916,0.162434443,0.657378137,0.000110973,-0.07773429,-0.015781863,0.1127172,0.094182216
20220215_154916,0.158054971,0.666228056,0.000460604,-0.07543958,-0.000993928,0.104148686,0.0972523
20220215_154917,0.158048867,0.682488501,8.82E-05,-0.04872309,-0.004697305,0.10413627,0.09781873
20220215_154917,0.157136215,0.617401659,0.000383696,-0.04664719,-0.012504593,0.10151387,0.09906051
20220215_154918,0.159125604,0.719488204,0.000150537,-0.041094936,-0.002019582,0.104956515,0.0966366
20220215_154918,0.156915105,0.567988515,0.000590674,0.002747322,0.054032993,0.093936436,0.10560546
20220215_154919,0.151056159,0.659909189,0.000232177,-0.020898376,0.03157539,0.09770008,0.09472017
20220215_154919,0.147855792,0.606317461,0.000187546,-0.018409368,0.024236266,0.0908902,0.097719096
20220215_154919,0.149883547,0.735830307,0.000208989,-0.027145352,-0.005881101,0.100212015,0.09189282
20220215_154920,0.160458436,0.569006085,0.000203575,-0.063674554,0.005624412,0.1057993,0.0972904
20220215_154920,0.159934446,0.545359373,0.000205485,-0.05646857,0.03196672,0.10626314,0.09797889
20220215_154921,0.172143763,0.572382629,0.000595208,-0.069450304,-0.0556481,0.11308683,0.10666127
20220215_154921,0.165428418,0.596544504,0.000205013,-0.06829332,-0.03732769,0.11164947,0.098826185
20220215_154921,0.15707605,0.640435815,0.000505339,-0.061405156,-0.005425978,0.105825946,0.094645664
20220215_154922,0.16521764,0.657261014,0.000645227,-0.067484856,0.006875557,0.11094623,0.098476015
20220215_154922,0.160099806,0.895532012,0.000353355,-0.072422236,0.003367913,0.11030944,0.09301756
20220215_154923,0.171696953,0.65294683,0.000271954,-0.09551174,0.006813651,0.1220277,0.0958229
20220215_154923,0.167365053,0.728814006,0.000143695,-0.06946484,-0.035972193,0.10754588,0.10622115
