time,magmean,max,min,hor,ver,horabs,verabs
20220125_140325,4.442898747,14.50325203,0.023971295,2.9439175,2.7310185,3.0263238,2.8801565
20220125_140326,5.680305263,13.5438776,0.023903986,4.39111,2.9742153,4.4380264,3.0610526
20220125_140326,7.00012394,14.64873314,0.02898276,5.853187,2.9330716,5.9133353,2.9978487
20220125_140327,7.530985538,16.74993515,0.023699563,6.4148235,2.7370274,6.482064,2.9585478
20220125_140327,7.917662372,15.43748951,0.013178704,6.912149,2.250448,6.983536,2.7762523
20220125_140328,8.337224286,15.34068108,0.007986927,7.4278703,1.7169844,7.4943285,2.7425804
20220125_140328,8.52807019,15.38254642,0.010668073,7.7252064,1.0247868,7.790202,2.7127056
20220125_140328,8.641729767,15.35724258,0.022367902,7.9328556,0.18040177,7.9824233,2.650282
20220125_140329,8.718964963,15.63911438,0.018185021,8.042569,-0.72927725,8.063001,2.661267
20220125_140329,8.73400124,16.19360924,0.047887005,7.9976315,-1.587177,8.017634,2.7944942
20220125_140330,8.768063305,16.70470047,0.0241067,7.862491,-2.5090392,7.8848014,3.1277997
20220125_140330,8.632974145,16.54308319,0.030666701,7.8441777,-1.9287835,7.868903,2.8705697
20220125_140331,8.727622864,16.01112938,0.065353006,7.998063,-1.4579997,8.01839,2.7835293
20220125_140331,9.246652973,16.01403618,0.079211667,8.536572,-0.9590312,8.540235,2.8875282
20220125_140332,9.206384457,16.36372948,0.029562529,8.504203,-0.8818282,8.511371,2.8439572
20220125_140332,9.179181782,16.47278786,0.045534611,8.470325,-0.85502493,8.476284,2.8555384
20220125_140333,9.126268761,16.3819313,0.044064645,8.425651,-0.87589514,8.433696,2.8326483
20220125_140333,9.17588259,16.44147873,0.030653065,8.47776,-0.86386305,8.482847,2.8273034
20220125_140334,9.141792348,16.39461708,0.040744729,8.431046,-0.8979274,8.43598,2.8470702
20220125_140334,9.168508618,16.51049805,0.048915103,8.477424,-0.8786263,8.482457,2.8303316
20220125_140335,9.124060114,16.43681526,0.054030292,8.42759,-0.8497177,8.435364,2.8098938
20220125_140335,9.130994188,16.40946388,0.147471905,8.434742,-0.8579825,8.441705,2.8187697
20220125_140335,9.179844242,16.54989433,0.051155366,8.479055,-0.8954883,8.486072,2.83019
20220125_140336,9.172610559,16.37331963,0.087115258,8.466182,-0.8826464,8.471364,2.8510196
