time,,,,hor,,horabs,,,horabs,
20220125_154325,0.111344005,0.509999275,0.000105481,-0.06298735,0.030945051,0.0790827,0.06274253,,0.0144327,
20220125_154326,0.117370825,0.575949728,0.000299994,-0.07396727,0.010532789,0.084652975,0.06399792,,0.020002975,
20220125_154326,0.123139482,0.510819137,0.000192222,-0.08054719,-0.000999569,0.09369021,0.061256524,,0.02904021,
20220125_154327,0.113800194,0.496996641,0.000195468,-0.06007869,0.032649666,0.07777868,0.06799415,,0.01312868,
20220125_154327,0.115570374,0.560419858,0.000269134,-0.06680837,0.018575957,0.08317712,0.06274574,,0.01852712,
20220125_154327,0.112552028,0.553423822,5.96E-05,-0.06260535,0.03199116,0.07921738,0.06565406,,0.01456738,
20220125_154328,0.118125293,0.607732832,0.000212114,-0.06499076,0.040836293,0.07966273,0.07198707,,0.01501273,
20220125_154328,0.120287052,0.544289231,0.000263634,-0.07520139,0.016753735,0.08882756,0.06299586,,0.02417756,
20220125_154329,0.118795202,0.557408452,0.000198425,-0.078777365,0.022186968,0.089205116,0.062942356,,0.024555116,
20220125_154329,0.12253501,0.57437706,0.000244007,-0.07523048,0.019847387,0.08956836,0.06682961,,0.02491836,-0.000519531
20220125_154329,0.120357422,0.446339041,0.00042518,-0.08053724,0.002918336,0.09238374,0.059285752,,0.02773374,-0.000519531
20220125_154330,0.130135241,0.478955358,0.000365158,-0.09540592,0.00214438,0.105748415,0.057069235,,0.041098415,-0.000519531
20220125_154330,0.120475293,0.594542801,8.48E-05,-0.069239795,0.030928683,0.085502125,0.067157075,,0.020852125,-0.000519531
20220125_154331,0.117426708,0.513629675,0.000268059,-0.07072641,0.029123561,0.08654829,0.06319629,,0.02189829,-0.000519531
20220125_154331,0.091661019,0.598357677,0.000137071,0.007684556,0.009753584,0.057017375,0.05910908,,-0.007632625,-0.000519531
20220125_154332,0.102136389,0.507213175,7.05E-05,0.029546935,0.03750384,0.06110189,0.06842047,,-0.00354811,-0.000519531
20220125_154332,0.09752523,0.52436012,0.000102758,-0.004224558,0.02892656,0.057221916,0.066951625,,-0.007428084,-0.000519531
20220125_154333,0.089473399,0.589107811,9.58E-05,-0.006729502,0.013441277,0.055843737,0.05692504,,-0.008806263,-0.000519531
20220125_154333,0.090233623,0.553457201,0.000122732,-0.010545398,0.00101512,0.057939235,0.056083966,,-0.006710765,-0.000519531
20220125_154334,0.094999041,0.570201337,5.56E-05,-0.013721447,-0.007051214,0.057486128,0.061999146,,-0.007163872,-0.000519531
20220125_154334,0.088792821,0.520759821,0.0002483,0.002861991,-0.002373688,0.057672072,0.05563086,,-0.006977928,-0.000519531
20220125_154334,0.099733138,0.609972775,0.000109657,0.007384995,0.040049046,0.05601067,0.07101071,,-0.00863933,-0.000519531
20220125_154335,0.093839493,0.545808911,0.000382931,0.012882003,0.024244418,0.056082886,0.06340772,,-0.008567114,-0.000519531
20220125_154335,0.095307004,0.706753314,9.96E-05,0.012641832,0.017390715,0.0611027,0.060075182,,-0.0035473,-0.000519531
20220125_154336,0.092130311,0.495706797,5.69E-05,0.001757103,0.002512959,0.058834992,0.058331132,,-0.005815008,-0.000519531
20220125_154336,0.090664426,0.489230961,0.000190852,-0.002015289,0.010253135,0.055225246,0.059245184,,-0.009424754,-0.000519531
