time,,,,hor,,horabs,,,,,hor-,horabs-
20220125_153057,0.108581647,0.631253839,6.29E-05,-0.017752638,-0.018699065,0.06530672,0.072823204,,,,-0.024176638,-0.000683659
20220125_153057,0.100833028,0.499019533,8.02E-05,-0.001117578,-0.005768382,0.05949516,0.06776508,,,,-0.007541578,-0.006495219
20220125_153057,0.100695824,0.547457159,0.000161855,-0.016521607,0.005466345,0.06312725,0.06459696,,,,-0.022945607,-0.002863129
20220125_153058,0.100998333,0.539599657,0.000125039,-0.006981582,0.007336622,0.061388563,0.06655674,,,,-0.013405582,-0.004601816
20220125_153058,0.103662973,0.583518863,0.000103292,-0.01975468,-0.02377744,0.06559382,0.065757364,,,,-0.02617868,-0.000396559
20220125_153059,0.102681372,0.555683911,0.000156676,-0.012276227,0.022708595,0.065587915,0.064822994,,,,-0.018700227,-0.000402464
20220125_153059,0.105297823,0.487450361,0.000100353,-0.025911653,0.017319346,0.06955532,0.064639635,,,,-0.032335653,0.003564941
20220125_153059,0.107966032,0.648991942,0.000204526,-0.029875226,0.018745761,0.06975308,0.0677369,,,,-0.036299226,0.003762701
20220125_153100,0.108014981,0.599597394,0.00020467,-0.006920908,0.038111944,0.064870596,0.072947346,,,,-0.013344908,-0.001119783
20220125_153100,0.121847641,1.114501953,0.000294361,-0.025241807,0.05847472,0.065442376,0.089526065,,,,-0.031665807,-0.000548003
20220125_153101,0.120443935,0.575780332,0.000241342,-0.001940891,0.07721668,0.06069423,0.09169069,,,,-0.008364891,-0.005296149
20220125_153101,0.118358845,0.536193848,0.000165605,-0.004781152,0.06336563,0.06473896,0.08634291,,,,-0.011205152,-0.001251419
20220125_153101,0.112826722,0.948336303,0.000169522,-0.01910813,0.042806454,0.06650203,0.077218845,,,,-0.02553213,0.000511651
20220125_153102,0.115122806,0.724655986,0.000230895,-0.030183218,0.038454648,0.07164309,0.07478634,,,,-0.036607218,0.005652711
20220125_153102,0.105859686,0.701747477,2.35E-05,-0.04133835,0.015983397,0.069720715,0.065466896,,,,-0.04776235,0.003730336
20220125_153103,0.100524844,0.858259916,0.000159859,-0.02501273,0.011102785,0.06512694,0.06331859,,,,-0.03143673,-0.000863439
20220125_153103,0.115788684,0.630084336,1.61E-05,-0.054777708,-0.01496941,0.07778335,0.06997472,,,,-0.061201708,0.011792971
20220125_153104,0.180466531,0.610786676,0.000366647,-0.15339768,0.003904768,0.15961128,0.06279858,,,,-0.15982168,0.093620901
20220125_153104,0.161205992,0.709504783,0.000420207,0.069875605,0.10653724,0.08832317,0.119745046,,,,0.063451605,0.022332791
20220125_153104,0.146619132,0.615351677,0.000232693,0.036967523,0.099654034,0.07027712,0.11400511,,,,0.030543523,0.004286741
20220125_153105,0.121276634,0.638052225,0.000239679,0.019586446,0.06390418,0.06977057,0.08468677,,,,0.013162446,0.003780191
20220125_153105,0.106846881,0.596321225,0.00010841,-0.034439296,0.014618949,0.06727687,0.069140114,,,,-0.040863296,0.001286491
20220125_153106,0.113850712,0.540646255,0.000195487,-0.014047263,0.055740282,0.06394589,0.080789715,,,,-0.020471263,-0.002044489
20220125_153106,0.106533312,0.74541539,0.00027011,-0.03631132,0.018103138,0.069208786,0.06663976,,,,-0.04273532,0.003218407
20220125_153106,0.108574213,0.761593163,0.000223019,0.000418236,0.049788542,0.057870734,0.07911162,,,,-0.006005764,-0.008119645
20220125_153107,0.108209665,0.577557862,0.000139999,-0.019454882,0.03273897,0.063959755,0.07337654,,,,-0.025878882,-0.002030624
20220125_153107,0.107441401,0.558033466,6.93E-05,-0.028791018,-0.006291525,0.06998613,0.06683976,,,,-0.035215018,0.003995751
20220125_153108,0.107757681,0.541007221,1.71E-05,-0.023569861,0.032182045,0.06450541,0.07245489,,,,-0.029993861,-0.001484969
20220125_153108,0.106590708,0.673202991,1.91E-05,-0.03640029,-0.008353855,0.06753119,0.06801988,,,,-0.04282429,0.001540811
20220125_153109,0.112409317,0.537505448,0.000201693,-0.044208232,0.012050414,0.07543778,0.06806824,,,,-0.050632232,0.009447401
20220125_153109,0.104131583,0.672424972,3.79E-05,-0.033408653,-0.014981543,0.06682675,0.06577645,,,,-0.039832653,0.000836371
20220125_153109,0.110608144,0.665209472,0.000230988,-0.044021644,-0.008533836,0.072457686,0.06789977,,,,-0.050445644,0.006467307
20220125_153110,0.110384915,0.554933906,6.19E-05,-0.04617657,-0.02896758,0.07343919,0.066618286,,,,-0.05260057,0.007448811
20220125_153110,0.105435526,0.61254102,0.000331912,-0.034045413,0.011726851,0.06892364,0.065813325,,,,-0.040469413,0.002933261
20220125_153111,0.11224583,0.588288963,7.78E-05,-0.02702394,0.031449694,0.06814165,0.07427373,,,,-0.03344794,0.002151271
20220125_153111,0.105209583,0.575393021,4.75E-05,-0.019124556,0.012724165,0.067145176,0.06598059,,,,-0.025548556,0.001154797
20220125_153112,0.111335519,0.549729288,0.000154115,-0.01774283,0.05025592,0.060020775,0.0802624,,,,-0.02416683,-0.005969604
20220125_153112,0.109725533,0.67314142,0.000130469,-0.010353019,0.029234897,0.06567251,0.07420603,,,,-0.016777019,-0.000317869
20220125_153112,0.10665151,0.50779593,0.000164329,-0.006024341,0.035620034,0.061726388,0.07325626,,,,-0.012448341,-0.004263991
20220125_153113,0.10548316,0.535297513,0.000186275,0.002879185,0.03131067,0.061480403,0.072171904,,,,-0.003544815,-0.004509976
20220125_153113,0.112203669,0.655311763,0.000109319,-0.001471003,0.050900403,0.061743684,0.08080101,,,,-0.007895003,-0.004246695
20220125_153114,0.108073317,0.627955258,9.75E-05,-0.011367651,0.03242111,0.06555289,0.07151609,,,,-0.017791651,-0.000437489
20220125_153114,0.107831795,0.525747061,0.000206874,-0.003690155,0.05257045,0.059943408,0.07698173,,,,-0.010114155,-0.006046971
20220125_153115,0.129788085,0.622756183,0.000128951,-0.005116231,0.08103272,0.06489192,0.099623635,,,,-0.011540231,-0.001098459
20220125_153115,0.188920146,0.912581623,0.000973451,-0.007442808,0.166484,0.06210677,0.16948447,,,,-0.013866808,-0.003883609
20220125_153116,0.232545029,0.65457952,0.000945642,-0.02161866,0.21194261,0.06516805,0.21505664,,,,-0.02804266,-0.000822329
20220125_153116,0.382588209,0.854686856,0.002648873,-0.013729108,0.37173924,0.062347926,0.37219998,,,,-0.020153108,-0.003642453
20220125_153117,0.525173384,0.973947704,0.015659597,-0.031103922,0.51587903,0.0697922,0.51696366,,,,-0.037527922,0.003801821
20220125_153117,0.736411344,1.456430554,0.004779813,-0.008893641,0.73130345,0.064862676,0.7313036,,,,-0.015317641,-0.001127703
20220125_153117,0.94506254,1.445716262,0.010242931,-0.028803505,0.94040126,0.070603974,0.94040126,,,,-0.035227505,0.004613595
20220125_153118,1.138397796,1.470441937,0.017468316,-0.05052868,1.1337179,0.07785958,1.1337179,,,,-0.05695268,0.011869201
20220125_153118,1.378614706,1.894001484,0.004867561,-0.04470261,1.3757344,0.071354546,1.3757344,,,,-0.05112661,0.005364167
20220125_153119,1.655001444,1.99949789,0.005506312,-0.018279403,1.6526154,0.06555672,1.6526154,,,,-0.024703403,-0.000433659
20220125_153119,1.906410777,2.493692398,0.017100485,-0.039831992,1.9038901,0.07337276,1.9038901,,,,-0.046255992,0.007382381
20220125_153120,2.131564719,2.47735095,0.011631405,-0.029780807,2.1297905,0.06606498,2.1297905,,,,-0.036204807,7.46006E-05
20220125_153120,2.396343306,2.936119556,0.019791026,-0.041721247,2.3943377,0.0735713,2.3943377,,,,-0.048145247,0.007580921
20220125_153120,2.656422341,3.377038479,0.040027227,-0.051564604,2.654428,0.07982212,2.654428,,,,-0.057988604,0.013831741
20220125_153121,2.931025109,3.311537266,0.02488751,-0.032434016,2.9297037,0.06529355,2.9297037,,,,-0.038858016,-0.000696829
20220125_153121,3.176421059,3.720472097,0.022346703,-0.043950327,3.1750019,0.07162987,3.1750019,,,,-0.050374327,0.005639491
20220125_153122,3.465505255,4.060620308,0.038768031,-0.01790579,3.4642918,0.06786493,3.4642918,,,,-0.02432979,0.001874551
20220125_153122,3.683019443,4.203144073,0.024230106,-0.041572556,3.6817636,0.07366091,3.6817636,,,,-0.047996556,0.007670531
20220125_153123,3.908920355,4.584792137,0.031546984,-0.028058678,3.907862,0.06827313,3.907862,,,,-0.034482678,0.002282751
20220125_153123,4.190698803,4.817681789,0.034237299,-0.036058553,4.189623,0.07261229,4.189623,,,,-0.042482553,0.006621911
20220125_153124,4.442175094,4.999027729,0.059556171,-0.04586276,4.4410696,0.077715725,4.4410696,,,,-0.05228676,0.011725346
20220125_153124,4.65472363,5.198765278,0.036498334,-0.00375504,4.6538334,0.067514226,4.6538334,,,,-0.01017904,0.001523847
20220125_153124,4.927321512,5.514231682,0.029452642,-0.046831142,4.9261923,0.07985709,4.9261923,,,,-0.053255142,0.013866711
20220125_153125,5.187660487,5.784859657,0.146097958,-0.044150755,5.1866164,0.07662849,5.1866164,,,,-0.050574755,0.010638111
20220125_153125,5.351457948,6.047857761,0.037611138,-0.037850477,5.350493,0.07612584,5.350493,,,,-0.044274477,0.010135461
20220125_153126,5.625212707,6.216506481,0.039311934,-0.009417524,5.6244287,0.07022052,5.6244287,,,,-0.015841524,0.004230141
20220125_153126,5.831140795,6.443485737,0.062206611,-0.018309139,5.8303857,0.06948604,5.8303857,,,,-0.024733139,0.003495661
20220125_153127,5.959978283,6.546684265,0.043179113,-0.023138339,5.9593086,0.06892303,5.9593086,,,,-0.029562339,0.002932651
20220125_153127,6.087386922,6.632014751,0.027686341,-0.013329103,6.086687,0.0684762,6.086687,,,,-0.019753103,0.002485821
20220125_153128,6.167928644,6.736474991,0.062045779,-0.022883968,6.167156,0.07214137,6.167156,,,,-0.029307968,0.006150991
20220125_153128,6.214166769,6.822928905,0.035923149,-0.033993036,6.2133594,0.07494469,6.2133594,,,,-0.040417036,0.008954311
20220125_153128,6.204537186,6.825041771,0.034517005,-0.015740784,6.2038584,0.0676418,6.2038584,,,,-0.022164784,0.001651421
20220125_153129,6.21363961,6.842226028,0.030465914,-0.0346603,6.212923,0.07250968,6.212923,,,,-0.0410843,0.006519301
20220125_153129,6.229773918,6.815093517,0.061848354,-0.04484206,6.228969,0.07524527,6.228969,,,,-0.05126606,0.009254891
20220125_153130,6.229282312,7.14692831,0.038416047,-0.05082392,6.228409,0.080186516,6.228409,,,,-0.05724792,0.014196137
20220125_153130,6.217538064,6.769920826,0.069824606,-0.0387588,6.2168202,0.070763364,6.2168202,,,,-0.0451828,0.004772985
20220125_153131,6.226621048,7.01763773,0.04147774,-0.037770774,6.225876,0.07201231,6.225876,,,,-0.044194774,0.006021931
20220125_153131,6.217357876,6.804477692,0.055200022,-0.029445449,6.216695,0.06847119,6.216695,,,,-0.035869449,0.002480811
20220125_153132,6.259647329,6.803163528,0.043155938,-0.03534168,6.2588005,0.076614134,6.2588005,,,,-0.04176568,0.010623755
20220125_153132,6.287646226,6.858126163,0.03927692,-0.06998426,6.286658,0.090667605,6.286658,,,,-0.07640826,0.024677226
20220125_153132,6.37590624,6.918651104,0.033044007,-0.0749202,6.374807,0.094564304,6.374807,,,,-0.0813442,0.028573925
20220125_153133,6.473067398,7.439580917,0.081372537,-0.05418956,6.4722457,0.08057776,6.4722457,,,,-0.06061356,0.014587381
