time,mean,max,,hor,ver,hormax,vermax
20220421_151323,7.43E-05,0.029666156,0,-4.96E-05,-1.17E-05,0.001045101,0.005545313
20220421_151323,7.43E-05,0.029666156,0,-4.96E-05,-1.17E-05,0.001045101,0.005545313
20220421_151324,0.000136454,0.048358433,0,-3.45E-05,5.39E-05,0.012579165,0.047906976
20220421_151324,0.000136454,0.048358433,0,-3.45E-05,5.39E-05,0.012579165,0.047906976
20220421_151324,0.000139064,0.045210149,0,-4.15E-05,5.08E-05,0.01246885,0.044756997
20220421_151324,0.000139064,0.045210149,0,-4.15E-05,5.08E-05,0.01246885,0.044756997
20220421_151324,7.73E-05,0.028895291,0,-5.10E-05,2.00E-06,0.000287385,0.007511888
20220421_151324,7.73E-05,0.028895291,0,-5.10E-05,2.00E-06,0.000287385,0.007511888
20220421_151324,0.000114953,0.030093228,0,-4.28E-05,3.03E-05,0.008440588,0.02981462
20220421_151324,0.000114953,0.030093228,0,-4.28E-05,3.03E-05,0.008440588,0.02981462
20220421_151324,6.32E-05,0.024070473,0,-3.78E-05,-1.19E-05,0.001165996,0.005425076
20220421_151324,6.32E-05,0.024070473,0,-3.78E-05,-1.19E-05,0.001165996,0.005425076
20220421_151324,0.000107787,0.029449724,0,-3.26E-05,1.78E-05,0.014989643,0.021004822
20220421_151324,0.000107787,0.029449724,0,-3.26E-05,1.78E-05,0.014989643,0.021004822
20220421_151324,0.000116944,0.030873386,0,-4.05E-05,3.27E-05,0.008629373,0.030619729
20220421_151324,0.000116944,0.030873386,0,-4.05E-05,3.27E-05,0.008629373,0.030619729
20220421_151324,0.000116944,0.030873386,0,-4.05E-05,3.27E-05,0.008629373,0.030619729
20220421_151324,0.000123792,0.03509935,0,-4.29E-05,3.92E-05,0.008884833,0.034950968
20220421_151324,0.000123792,0.03509935,0,-4.29E-05,3.92E-05,0.008884833,0.034950968
20220421_151325,0.00011825,0.035756744,0,-3.15E-05,3.81E-05,0.010883683,0.035615284
20220421_151325,0.00011825,0.035756744,0,-3.15E-05,3.81E-05,0.010883683,0.035615284
20220421_151325,0.00011825,0.035756744,0,-3.15E-05,3.81E-05,0.010883683,0.035615284
20220421_151325,0.000115166,0.033084497,0,-3.09E-05,1.95E-05,0.017765153,0.023173982
20220421_151325,0.000115166,0.033084497,0,-3.09E-05,1.95E-05,0.017765153,0.023173982
20220421_151325,7.48E-05,0.02710853,0,-4.69E-05,4.11E-06,0.000482824,0.008808229
20220421_151325,7.48E-05,0.02710853,0,-4.69E-05,4.11E-06,0.000482824,0.008808229
20220421_151325,0.000106029,0.033203304,0,-4.39E-05,2.75E-05,0.010188232,0.023524776
20220421_151325,0.000106029,0.033203304,0,-4.39E-05,2.75E-05,0.010188232,0.023524776
20220421_151325,0.000106029,0.033203304,0,-4.39E-05,2.75E-05,0.010188232,0.023524776
20220421_151325,6.92E-05,0.029108305,0,-4.31E-05,-1.15E-05,0.001376897,0.005903554
20220421_151325,6.92E-05,0.029108305,0,-4.31E-05,-1.15E-05,0.001376897,0.005903554
20220421_151325,0.000110249,0.029943358,0,-4.11E-05,2.43E-05,0.009813546,0.025148738
20220421_151325,0.000110249,0.029943358,0,-4.11E-05,2.43E-05,0.009813546,0.025148738
20220421_151325,0.000100166,0.029280433,0,-3.63E-05,1.44E-05,0.00937955,0.020443846
20220421_151325,0.000100166,0.029280433,0,-3.63E-05,1.44E-05,0.00937955,0.020443846
20220421_151325,0.000100166,0.029280433,0,-3.63E-05,1.44E-05,0.00937955,0.020443846
20220421_151325,9.09E-05,0.028139658,0,-4.45E-05,7.16E-06,0.003589632,0.015883788
20220421_151326,9.09E-05,0.028139658,0,-4.45E-05,7.16E-06,0.003589632,0.015883788
20220421_151326,0.000101471,0.025710179,0,-3.80E-05,2.09E-05,0.008381008,0.022154018
20220421_151326,0.000101471,0.025710179,0,-3.80E-05,2.09E-05,0.008381008,0.022154018
20220421_151326,7.39E-05,0.031527709,0,-4.91E-05,-1.00E-05,0.001000556,0.00626129
20220421_151326,0.000120162,0.033551704,0,-2.62E-05,4.56E-05,0.01548704,0.032993119
20220421_151326,0.000120162,0.033551704,0,-2.62E-05,4.56E-05,0.01548704,0.032993119
20220421_151326,0.000111787,0.030206198,0,-3.39E-05,2.31E-05,0.014363064,0.0240769
20220421_151326,0.000124755,0.037829321,0,-3.54E-05,4.07E-05,0.011769767,0.037166361
20220421_151326,0.000124755,0.037829321,0,-3.54E-05,4.07E-05,0.011769767,0.037166361
20220421_151326,7.65E-05,0.03372702,0,-5.03E-05,-1.07E-05,0.001154225,0.006334577
20220421_151326,7.65E-05,0.03372702,0,-5.03E-05,-1.07E-05,0.001154225,0.006334577
20220421_151326,0.000105181,0.027668986,0,-3.21E-05,2.28E-05,0.010542241,0.025012039
20220421_151327,0.000105723,0.030513559,0,-4.04E-05,2.60E-05,0.007844717,0.025847083
20220421_151327,0.000105723,0.030513559,0,-4.04E-05,2.60E-05,0.007844717,0.025847083
20220421_151327,6.81E-05,0.026747778,0,-4.45E-05,-1.02E-05,0.000810732,0.005772694
20220421_151327,6.81E-05,0.026747778,0,-4.45E-05,-1.02E-05,0.000810732,0.005772694
20220421_151327,9.16E-05,0.031319678,0,-4.66E-05,1.09E-05,0.0033648,0.016726363
20220421_151327,9.16E-05,0.031319678,0,-4.66E-05,1.09E-05,0.0033648,0.016726363
20220421_151327,7.15E-05,0.030099271,0,-4.61E-05,-1.09E-05,0.001245345,0.005923421
20220421_151327,7.15E-05,0.030099271,0,-4.61E-05,-1.09E-05,0.001245345,0.005923421
20220421_151327,0.000118391,0.03334913,0,-4.05E-05,3.59E-05,0.00860061,0.033179481
20220421_151327,0.000125033,0.038005866,0,-3.91E-05,4.17E-05,0.010461466,0.037510101
20220421_151328,7.09E-05,0.022844434,0,-3.61E-05,-4.45E-06,0.002139464,0.006289043
20220421_151328,7.89E-05,0.029069118,0,-4.59E-05,-5.11E-06,0.001476135,0.00560644
20220421_151328,0.000111088,0.027551631,0,-2.62E-05,2.58E-05,0.014774025,0.025921514
