time,magmean,magmax,magmin,hor,ver,horabs,verabs
20220125_131352,0.0777772,0.482793838,0.000150594,-0.000294015,0.004292222,0.046364754,0.052390847
20220125_131354,0.078185436,0.501131177,0.000123906,-0.002447599,0.020667877,0.047499813,0.05112663
20220125_131354,0.080591746,0.531645775,0.00011527,0.003365326,0.020393528,0.048350427,0.053740837
20220125_131355,0.084645489,1.451794982,0.000168139,0.017137015,0.017750265,0.052723624,0.055113096
20220125_131356,0.088248248,0.58510989,0.000138606,0.035365183,0.014307077,0.05833829,0.054149378
20220125_131357,0.083101151,0.549104631,0.000216964,0.014539552,0.019402988,0.051991004,0.052998345
20220125_131357,0.093692615,0.669745743,0.000232867,0.033630762,0.04785417,0.05581297,0.06319313
20220125_131358,0.107004421,0.61055702,0.000129288,0.049114265,0.048719257,0.0686172,0.06850909
20220125_131358,0.088810019,1.064316988,0.000124082,0.03393393,0.018703166,0.057257786,0.05445441
20220125_131359,0.086348634,0.538999677,0.000158742,0.03383701,0.02737447,0.05439998,0.055453423
20220125_131359,0.091667464,0.62000078,7.06E-05,0.025265478,0.04228907,0.053896893,0.062418558
20220125_131359,0.089456561,0.516694546,0.000249579,0.037641183,0.03593841,0.055767525,0.058459204
20220125_131400,0.102327014,0.462363601,0.00010761,0.03912143,0.05924393,0.05906872,0.07199887
20220125_131400,0.091916055,0.632104099,5.12E-05,0.019801497,0.045128323,0.05173216,0.06470837
20220125_131401,0.102168104,0.55019927,0.000179771,0.043330688,0.050493468,0.062115263,0.068042725
20220125_131401,0.07891716,0.778881192,4.91E-05,0.008358964,0.013889178,0.050061546,0.049764086
20220125_131402,0.079101712,0.798017561,3.53E-05,0.013647393,0.005555557,0.048580028,0.05128535
20220125_131402,0.08354141,0.539539814,9.64E-05,-0.03203947,-0.003730738,0.057337295,0.048272017
20220125_131403,0.078310575,0.596100092,8.31E-05,-0.015242048,0.010112923,0.051170405,0.04737243
20220125_131403,0.083290537,0.551267684,0.00012056,-0.022892678,-0.010914881,0.055743594,0.049489822
20220125_131403,0.090450341,0.646021843,3.80E-05,-0.02091608,-0.04349688,0.051757317,0.06343263
20220125_131404,0.079077837,0.544152498,0.000108576,-0.004914564,-0.003650321,0.050381795,0.050133225
20220125_131404,0.076399965,0.804577529,5.55E-05,-0.005783335,-0.004177541,0.04792757,0.048753258
20220125_131405,0.081026867,0.424503624,0.000139053,0.000709209,-0.014763765,0.04934315,0.053323925
20220125_131405,0.080050146,0.641187429,8.21E-05,0.010605074,0.026445137,0.046425648,0.05459089
20220125_131406,0.08617204,0.532219231,0.000185266,0.012446267,0.03668606,0.050563358,0.05888956
20220125_131406,0.079452579,0.590446591,8.14E-05,-0.002895612,-0.003397248,0.05093008,0.0498983
20220125_131406,0.083280476,0.584776998,0.000324659,0.016869029,0.024713775,0.05341569,0.052907746
20220125_131407,0.093615673,0.484134436,0.000207141,0.017850757,0.050591204,0.049541727,0.068499036
20220125_131407,0.095400252,0.5684039,0.000495834,0.002417922,0.05758863,0.048571974,0.07149106
20220125_131408,0.094936318,0.464824557,0.00023433,0.013440827,0.053866807,0.048843082,0.071100794
20220125_131408,0.084467786,0.502162993,0.000128819,0.003013835,0.03871208,0.048640497,0.058802217
20220125_131408,0.095656476,1.01243031,0.00013084,0.013664221,0.051043633,0.051401608,0.06971458
20220125_131409,0.094078982,0.517119765,7.74E-05,0.010704058,0.054337986,0.050068513,0.069758326
20220125_131409,0.092949555,0.630590975,5.50E-05,0.003543341,0.05287913,0.04798863,0.06904252
20220125_131410,0.091975344,0.646796882,0.000275176,-0.006667169,0.04581395,0.049900733,0.06621748
20220125_131410,0.09250786,0.62765187,0.000157263,-0.005333718,0.0483953,0.04674137,0.069933295
20220125_131411,0.091900391,0.621162355,0.000342743,-0.00208797,0.046496063,0.047769733,0.06800381
20220125_131411,0.090485042,0.495694548,5.68E-05,-0.005256279,0.047735795,0.052372117,0.062227882
20220125_131411,0.077260105,0.592049181,9.17E-05,0.000344794,0.021725804,0.047089398,0.05121718
20220125_131412,0.078671027,0.491534472,0.000143463,-0.015346524,0.005011806,0.050678052,0.04856148
20220125_131412,0.084507903,0.598262906,9.37E-05,-0.008635778,0.041762438,0.045219384,0.06130713
20220125_131413,0.081265933,0.890944541,0.000157204,-0.015478551,0.02840413,0.051455803,0.05107859
20220125_131413,0.079605818,0.643756747,0.000298691,-0.017374972,-0.003107215,0.05124144,0.049417827
20220125_131413,0.080163453,0.79797101,7.22E-05,-0.008202321,0.019329585,0.050040737,0.051602453
20220125_131414,0.077869534,0.493409932,0.000173915,0.003827866,0.028456068,0.04712513,0.05177788
20220125_131414,0.083394315,0.469022959,0.000236259,-0.030201677,-0.001151414,0.05809192,0.047584422
20220125_131415,0.083808968,0.557698607,0.000123139,-0.022120088,0.022867195,0.052446034,0.053483292
20220125_131415,0.082732701,0.731138647,0.000158374,-0.007899893,0.028785039,0.04866447,0.055949613
20220125_131415,0.091528046,0.463719249,8.29E-05,-0.009746253,0.04915416,0.05075478,0.06586149
20220125_131416,0.079432569,0.623101652,2.43E-05,-0.007573231,0.01801756,0.049081493,0.052105483
20220125_131416,0.079140576,0.646034122,0.000120404,-0.010955344,0.024920067,0.048657987,0.051458277
20220125_131417,0.082599381,0.55081141,5.74E-05,-0.012941377,-0.009661479,0.050773695,0.054522358
20220125_131417,0.079813342,0.544626236,0.000163257,-0.007510642,0.019820608,0.0477163,0.053790554
20220125_131418,0.082707706,0.5270226,3.95E-05,-0.008273369,0.02513267,0.04748911,0.057034574
20220125_131418,0.080808489,0.425302386,0.00016702,-0.010257321,0.022019634,0.048022322,0.054215338
20220125_131418,0.08659133,0.436398894,4.20E-05,-0.037673596,-0.013323288,0.058630094,0.050553925
20220125_131419,0.078427367,0.508828878,0.000137389,-0.00987022,-0.007846554,0.049937118,0.04914235
20220125_131419,0.075620191,0.51085937,2.52E-05,-0.001654289,0.023510959,0.04575216,0.05034183
20220125_131420,0.076855116,0.541081965,0.000117035,-0.004846052,0.012204665,0.047374967,0.049975198
20220125_131420,0.08869685,0.505811274,0.000164343,-0.04011508,0.01671171,0.060131066,0.053045508
20220125_131421,2.942092726,3.220116377,0.054417711,-1.0808263,-2.7355363,1.0808263,2.7355363
20220125_131421,5.638156285,8.097148895,0.080671683,-2.281693,-5.155287,2.281693,5.155287
20220125_131421,8.433437502,11.67796993,0.077933706,-3.8961332,-7.4790807,3.8961332,7.4790807
20220125_131422,9.712541564,13.11448383,0.180781722,-4.421328,-8.647474,4.421328,8.647474
20220125_131423,11.18402255,14.52826309,0.181455702,-4.0527964,-10.423539,4.0527964,10.423539
20220125_131423,13.56877082,15.59528065,0.357714415,-4.52386,-12.791899,4.52386,12.791899
20220125_131423,14.84925011,15.85251045,0.126589864,-4.4670653,-14.159939,4.4670653,14.159939
20220125_131424,12.78326457,17.94793701,0.081124187,-4.0776076,-12.077928,4.0776076,12.077928
20220125_131424,10.22012823,14.25764275,0.118964262,-3.4410114,-9.538057,3.4783733,9.538057
20220125_131425,7.88414861,13.19903278,0.109476008,-2.6804574,-7.210061,2.8532693,7.210061
20220125_131425,6.176151473,11.23239613,0.086057752,-2.2475808,-5.440721,2.5887082,5.440721
20220125_131426,4.228854565,12.92076397,0.000942236,-1.6350892,-3.350796,1.9925791,3.5185993
20220125_131426,1.259325763,5.495737553,0.001450854,0.004373461,-0.01593959,0.607654,0.9694076
20220125_131426,7.947398888,14.67749882,0.085152678,6.4688344,3.9477985,6.476231,3.9592803
20220125_131427,8.433005402,15.26846027,0.095113352,7.0883026,3.6635385,7.095864,3.725461
20220125_131427,2.9282395,9.261756897,0.001960686,1.9808563,1.014803,2.165902,1.5227059
20220125_131428,1.866155668,9.021894455,0.000464263,0.7525355,0.53820115,1.1275554,1.2666495
20220125_131428,1.596654855,6.658476353,0.003509738,0.5153572,0.37351644,0.90720975,1.1327727
20220125_131429,4.094261081,10.69201469,0.010192507,3.0701022,-0.03313787,3.1270807,2.0270574
20220125_131429,1.252448219,5.275989056,0.001570435,-0.060115777,0.026117416,0.6050459,0.96092904
20220125_131429,1.287259948,5.466301918,0.000814048,-0.07772441,0.025213344,0.61972815,0.9951515
20220125_131430,1.27316071,5.393235207,0.000650787,0.031569198,0.030366478,0.63382804,0.96282977
20220125_131430,1.244762536,5.363905907,0.001161134,-0.06843745,-0.020414745,0.6094758,0.9503559
20220125_131431,9.615716023,15.90113831,0.034632828,8.17575,-3.6908407,8.17575,4.224363
20220125_131431,9.889104061,16.33623886,0.087720431,8.003266,-4.822916,8.003273,4.9148455
20220125_131432,9.743642644,16.00304985,0.066688567,8.35118,-3.7588003,8.353323,4.1498647
20220125_131432,9.469187911,16.27894783,0.032957636,8.401436,-2.9012165,8.40361,3.5857105
20220125_131432,8.898816167,16.45767212,0.056489654,8.060429,-2.099639,8.075853,3.0479262
20220125_131433,8.671496704,17.09060478,0.032408524,7.831272,-2.2109413,7.8556876,2.9826338
20220125_131433,8.846118148,16.50590515,0.024889717,7.9859376,-2.2117934,8.006303,3.067886
20220125_131434,8.680416931,16.4318924,0.049291413,7.943226,-1.5322055,7.9656773,2.7949414
20220125_131434,8.713171194,16.4347744,0.102869518,7.965997,-1.5531722,7.9893947,2.8136117
20220125_131435,8.689134628,16.38233376,0.122065485,7.9436436,-1.586334,7.9639487,2.8042386
20220125_131435,8.70606684,16.43385887,0.040311802,7.962418,-1.5948267,7.9834642,2.8124118
20220125_131436,8.723101608,16.44852829,0.063765079,7.974902,-1.5904816,7.996426,2.8203819
20220125_131436,8.701837359,16.4947834,0.048756469,7.94632,-1.6019793,7.9701567,2.8147552
20220125_131436,8.691402582,16.4383831,0.084246024,7.9340153,-1.621885,7.9556346,2.8320968
20220125_131437,8.701434644,16.35354996,0.063151546,7.9489703,-1.6151695,7.972203,2.810176
20220125_131437,8.738044185,16.4155407,0.065732166,7.983754,-1.6077713,8.006009,2.8355665
20220125_131438,8.705728983,16.375103,0.049660448,7.949085,-1.5914204,7.9706535,2.8247328
20220125_131438,8.76114118,16.43773079,0.05462271,7.9976773,-1.632188,8.022997,2.8419883
20220125_131439,8.674976704,16.42002869,0.050707262,7.9297886,-1.5738827,7.949623,2.801242
20220125_131439,8.686259338,16.41864967,0.07151597,7.930131,-1.605677,7.9496474,2.8243222
20220125_131440,8.702595094,16.51589012,0.050446689,7.9582067,-1.594861,7.9775243,2.819346
